"text_id","en","fr_FR","ko","es","jp","version","de","fr"
"l9000","title","","","","","1","",""
"d9000","description","","","","","1","",""
"t9000","tooltip","","","","","1","",""
"t9000","tooltip","","","","","1","",""
"l9001","title2","","","","","1","",""
"d9001","description2","","","","","1","",""
"t9001","tooltip","","","","","1","",""
"t9001","tooltip","","","","","1","",""
"l9002","title","","","","","1","",""
"d9002","description","","","","","1","",""
"t9002","tooltip","","","","","1","",""
"t9002","tooltip","","","","","1","",""
"l9003","title2","","","","","1","",""
"d9003","description2","","","","","1","",""
"t9003","tooltip","","","","","1","",""
"t9003","tooltip","","","","","1","",""
"op9002","disable","","","","","1","",""
"op9003","enable","","","","","1","",""
"op9000","disable","","","","","1","",""
"op9001","enable","","","","","1","",""
